#; 0: CONVO_INTRO
0;Cheers, my good fellow!
#; 1: CONVO_NEUTRAL
1;It's a nice weather, don't you think?
#; 2: CONVO_GIFT
2;You've got something for me?
#; 3: CONVO_GIFTHAPPY
3;This is splendid! Thank you!
#; 4: CONVO_GIFTUNHAPPY
4;Well... This is certainly something.
#; 5: CONVO_COMPLIMENT
5;Thank you, my good sir!
#; 6: CONVO_STARTMINIGAME
6;I could use some help here.
#; 7: CONVO_FINISHMINIGAME
7;You're such a great help to have here.
#; 8: CONVO_BOSSPROMPT
8;It is time for you to leave. Stay safe.
