#; 0: CONVO_INTRO
0;Hi dear! xoxo
#; 1: CONVO_NEUTRAL
1;Dear~~
#; 2: CONVO_GIFT
2;Omg dearie you have something for me?
#; 3: CONVO_GIFTHAPPY
3;Aww dear, thanks a million!  xoxo
#; 4: CONVO_GIFTUNHAPPY
4;Well, I appreciate the thought, dear.
#; 5: CONVO_COMPLIMENT
5;Y-You're saying I look good? Thanks dear!! xoxo
#; 6: CONVO_STARTMINIGAME
6;Thanks for offering your help to clear the weeds dear... xoxo
#; 7: CONVO_FINISHMINIGAME
7;Omg thank you for helping dear!
#; 8: CONVO_BOSSPROMPT
8;Be safe on your way home dear xoxo
